gene_id	NA.	X300_cells_rep1	X300_cells_rep2	X300_cells_rep3	X300_cells_noGSKi_rep1	X300_cells_noGSKi_rep2	X300_cells_noGSKi_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000061353	Cxcl12	1030.36306357038	692.452799750484	983.013558645892	33.9095019687793	40.4568571131172	42.0073984427037	470.367196581894	-4.53863163090352	0.183605393037735	-24.7194897481619	6.60209900117627e-135	8.91085302188761e-131
ENSMUSG00000025491	Ifitm1	1868.32657877739	1978.29505164766	1832.70127403088	4675.52191851875	4864.45543860099	4776.84130862745	3332.69026170052	1.33374966516372	0.0565164017717286	23.5993379506144	3.91491258538719e-123	2.64197875824855e-119
ENSMUSG00000044221	Grsf1	914.14201658946	1028.27754812733	902.594796044075	3073.79661964053	3074.7211405969	2696.47490956022	1948.33450509309	1.63619057294705	0.0754577335728321	21.6835371999054	2.93438114789955e-104	1.32017807844001e-100
ENSMUSG00000030544	Mesp1	64.4587319390004	94.1101802235994	101.581594865453	650.264567166004	767.717026646533	652.114852015305	388.374492142649	2.99671775341789	0.144501778649215	20.7382758982681	1.56432745273076e-95	5.27843190737676e-92
ENSMUSG00000028645	Slc2a1	3301.06839323972	3550.43037811979	3264.36687666585	7559.82426245139	7300.53619191226	7115.25315527129	5348.57987627672	1.1191654849524	0.0548567823030641	20.4015882442651	1.61871839216587e-92	4.17348491893968e-89
ENSMUSG00000046402	Rbp1	916.095311496702	762.787776549174	779.850368914987	2773.59779338751	2621.02638582838	2388.42065431373	1706.96304841508	1.66189069558482	0.0814855339451609	20.3949169272581	1.85529447385627e-92	4.17348491893968e-89
ENSMUSG00000051323	Pcdh19	340.849961313805	402.197191271383	372.465847839994	1283.57438334762	1225.26481542583	1432.25225166552	842.767408477358	1.82094305733169	0.093190315154473	19.5400461336919	5.01368885155632e-85	9.66710834706509e-82
ENSMUSG00000014773	Dll1	1013.76005685882	1184.79763734131	1112.10683545407	2883.30500563944	3180.67957589316	2577.45394730589	1992.01717641545	1.38443367467492	0.0819644941036715	16.8906511266188	5.27179873073792e-64	8.89418343359622e-61
ENSMUSG00000039481	Nrtn	853.589874464944	575.558049578013	814.769042149986	118.683256890728	142.562258398603	163.028713003826	444.69853241435	-2.40278018734078	0.14844714198649	-16.1860993427509	6.32107425790532e-59	9.47950436210535e-56
ENSMUSG00000063972	Nr6a1	877.029413351854	921.289132715236	945.978602184529	2029.58342666076	1858.12565169531	2001.35248294881	1438.89311825942	1.10184974042543	0.0704169554099282	15.6475061156944	3.45495713653519e-55	4.66315564718155e-52
ENSMUSG00000033837	Foxh1	113.291104620061	104.016514983978	69.8373464699988	1089.09341617374	1090.40862504878	853.150258848245	553.299544357466	3.39816249489687	0.220003627580052	15.445938470539	8.03495570194642e-54	9.85889064628826e-51
ENSMUSG00000027500	Stmn2	54.6922574027882	31.7002712332124	45.5000893668174	348.071064326588	305.352945353765	298.052493712517	180.561520232615	2.85033460621088	0.190417877253394	14.9688393092307	1.17351470608097e-50	1.31991066566457e-47
ENSMUSG00000012282	Wnt8a	37.1126032376063	31.7002712332124	31.744248395454	385.969919468165	314.022271878005	241.042452968848	173.598627863548	3.22477542268619	0.218882876315534	14.7328812421008	3.96436768778662e-49	4.1159285140043e-46
ENSMUSG00000026185	Igfbp5	3198.52041060949	2032.77989282975	2605.14465165359	110.704550545133	136.782707382444	186.032764531974	1378.32749625873	-4.17618240534811	0.283852260443932	-14.7125212207814	5.35735993759739e-49	5.16487764841086e-46
ENSMUSG00000036834	Plch1	356.476320571745	273.414839386457	341.779741057721	44.8802231939727	43.346632621197	58.010216897067	186.31799562136	-2.73322811401029	0.186200894687993	-14.6789204132999	8.79800618945783e-49	7.91644596927415e-46
ENSMUSG00000023781	Hes7	984.460633250187	1064.93098674073	1032.74621446544	2586.09819426602	2734.69088914618	2106.37097905557	1751.54964948736	1.26910662229141	0.086885429461168	14.6066680013202	2.54672083831511e-48	2.14831819717119e-45
ENSMUSG00000066705	Fxyd6	2211.12983499844	1632.56396851044	1916.29446147224	685.171407427983	747.488598089974	754.132819661872	1324.46351502682	-1.39726812117769	0.0956905626141187	-14.6019427935888	2.72954668625605e-48	2.16709950731753e-45
