k6	gene_short_name
B	Fndc5
B	Olfm2
B	Arhgap24
B	Mxra7
B	Fgfbp3
B	Irx3
B	Sox3
B	Crabp2
B	Sox1
B	Irx5
B	Sox21
B	Rprm
B	Lrrc8c
B	Camk2n2
B	Elavl2
B	Hoxb9
B	Plagl1
B	Fam49a
B	Tshz3
B	Car3
B	Pdgfa
B	Slc22a23
B	Fzd9
B	Dtx4
B	Nedd9
B	Frat2
B	Pou3f2
B	Cystm1
B	Pcgf5
B	Nin
B	Mafb
B	Celsr1
B	Cntfr
B	Slitrk5
B	Myo5b
B	Hes3
B	Cdh6
B	Cacna2d2
B	Dock9
B	Mcrip2
B	Phlda3
B	Sp6
B	Baiap2
B	Etv4
B	Smim3
B	Mgat5b
B	Lratd2
B	Spred3
B	Nkx1-2
B	Tcea3
B	Gdf11
B	Hoxb8
B	Hoxc9
B	Enc1
B	Gpc4
B	Pdia5
B	Gldc
B	Kcnip2
B	Nat8l
B	Nrxn2
B	Lrrn3
B	Dennd5b
B	Mfng
B	Zbtb16
B	Hoxc6
B	Glis3
B	Epha5
B	Hoxc8
B	Sh3kbp1
B	Rgs10
B	Chrdl1
B	Acot7
B	Sema3a
B	Chic1
B	Apba2
B	Gbx2
B	Mbp
B	Lin28a
B	F11r
B	Id2
B	Lrrc4
B	Mical2
B	Matn2
B	Sox13
B	Sox2
B	Atp2b1
B	Trim2
B	Celsr2
B	Heg1
B	Adam23
B	Sema5b
B	Cercam
B	Sox9
B	Dus4l
B	Cspg5
B	Sp8
B	C1ql1
B	Fbxo32
B	Lbh
B	Fam20c
B	Pla2g7
B	Sema3e
B	Apela
B	Sgk1
B	Samd5
B	Kcnj12
B	Pnoc
B	Gfra3
B	Fam214b
B	Btbd17
B	Dipk1c
D	Rerg
D	Neto2
D	Mapkapk3
D	Sparcl1
D	Bmp1
D	Pik3r3
D	mt-Nd4
D	mt-Cytb
D	mt-Atp8
D	mt-Nd1
D	mt-Nd2
D	Rabl2
D	Ctxn1
D	Gas2l1
D	Cpe
D	Fam83h
D	Zfp386
D	Stra6l
D	Ccnjl
D	Dusp28
D	Aopep
D	Lcmt2
D	Fam222a
D	Notum
D	Axin2
D	Heyl
D	Cacnb3
D	Csrnp2
D	Tmem151b
D	Sting1
D	Cby1
D	Hadhb
D	Exo5
D	Antxr1
D	Megf6
D	Eva1c
D	Epha7
D	Agmo
D	Nkd2
D	Fmod
D	Islr
D	Cxcl12
D	Rgmb
D	Fgf17
D	Wnt3a
D	Scx
D	Spag6
D	mt-Co3
D	Apcdd1
D	Evx1
D	Wnt5b
D	Amph
D	Wnt6
D	Smim10l2a
D	Cttnbp2
D	Zik1
D	Mfap4
D	Bmp3
D	Smoc1
D	Mxd4
D	Gnal
D	Pakap
D	Atf5
D	Lpl
D	Hoxd9
D	Flywch2
D	Hoxa10
D	Hoxc10
E	Nkx6-2
E	Me3
E	Tnfaip6
E	Ntrk3
