category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0007275	1.19659042092762e-15	1	32	885	multicellular organism development	BP
GO:0045596	5.24352475018767e-06	0.999999816115473	5	36	negative regulation of cell differentiation	BP
GO:0048705	1.28682831914067e-05	0.999999446278806	5	44	skeletal system morphogenesis	BP
GO:0008585	1.78445401703951e-05	0.999999544500417	4	23	female gonad development	BP
GO:0072277	2.50108568586474e-05	1	2	2	metanephric glomerular capillary formation	BP
GO:0042475	2.87778673003818e-05	0.9999985164644	5	52	odontogenesis of dentin-containing tooth	BP
GO:0010466	3.0884599796406e-05	0.999998385908069	5	51	negative regulation of peptidase activity	BP
GO:0008284	3.84131289445907e-05	0.999992396210615	12	427	positive regulation of cell population proliferation	BP
GO:0035116	4.91017083215457e-05	0.999998322149999	4	30	embryonic hindlimb morphogenesis	BP
GO:0042074	5.05220151232299e-05	0.99999932139107	3	11	cell migration involved in gastrulation	BP
GO:0007263	5.54364451500007e-05	0.999999214778623	3	12	nitric oxide mediated signal transduction	BP
GO:0045926	6.0797670463442e-05	0.999999130444973	3	11	negative regulation of growth	BP
GO:0000122	6.59832779902682e-05	0.999981720034318	17	846	negative regulation of transcription by RNA polymerase II	BP
GO:0034121	8.36317491337805e-05	0.999999854239547	2	3	regulation of toll-like receptor signaling pathway	BP
GO:0030282	8.6392660576481e-05	0.999996542534064	4	34	bone mineralization	BP
GO:0030154	8.92451948044948e-05	0.99997566598575	16	779	cell differentiation	BP
GO:0060437	0.00010107070698526	0.999999806244611	2	3	lung growth	BP
GO:0038091	0.000106279760595115	0.999999791042817	2	3	positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway	BP
GO:0060021	0.000126636108117582	0.999990897343903	5	72	roof of mouth development	BP
GO:0050730	0.000141276502339868	0.999997123658973	3	15	regulation of peptidyl-tyrosine phosphorylation	BP
GO:0045944	0.000144287353762068	0.999954222709261	19	1094	positive regulation of transcription by RNA polymerase II	BP
GO:0001710	0.000146317173624618	0.999999662103932	2	3	mesodermal cell fate commitment	BP
GO:1900108	0.000157489815300274	0.99999962257091	2	3	negative regulation of nodal signaling pathway	BP
GO:0033227	0.000166224663711277	0.999999590656318	2	3	dsRNA transport	BP
GO:0036018	0.000180271862892854	0.999999537540146	2	3	cellular response to erythropoietin	BP
GO:0030198	0.000213312308248698	0.999976704447375	6	132	extracellular matrix organization	BP
GO:0071280	0.000218022742660966	0.99999474904918	3	17	cellular response to copper ion	BP
GO:0010468	0.000225522466109672	0.999958587214878	9	303	regulation of gene expression	BP
GO:0043588	0.000239654850676394	0.999987202933394	4	46	skin development	BP
GO:0009948	0.000265720117159034	0.999993096494705	3	18	anterior/posterior axis specification	BP
GO:0007044	0.00030781996995966	0.999998303450561	2	5	cell-substrate junction assembly	BP
GO:0003253	0.000350577849916839	0.999998223028665	2	4	cardiac neural crest cell migration involved in outflow tract morphogenesis	BP
GO:0061551	0.000355821424622125	0.999997890163238	2	5	trigeminal ganglion development	BP
GO:0009653	0.000366047762152215	0.999978013682	4	51	anatomical structure morphogenesis	BP
GO:0072075	0.000366124448635479	0.999997797574124	2	5	metanephric mesenchyme development	BP
GO:0045893	0.000373857098824575	0.999904945491838	12	553	positive regulation of DNA-templated transcription	BP
GO:0032526	0.000405589844838724	0.999975018508553	4	49	response to retinoic acid	BP
GO:0007517	0.000455103375793232	0.999971036148963	4	51	muscle organ development	BP
GO:0071230	0.00048184324238735	0.999968776134184	4	54	cellular response to amino acid stimulus	BP
GO:0001714	0.000485390611764211	0.999996633254622	2	5	endodermal cell fate specification	BP
GO:0060363	0.000497007824095849	0.999996511218641	2	5	cranial suture morphogenesis	BP
GO:0010273	0.00052668666458255	0.999996192877434	2	5	detoxification of copper ion	BP
GO:0023019	0.000530494363042548	0.999982094440826	3	22	signal transduction involved in regulation of gene expression	BP
GO:1901166	0.000673227083426672	0.999993669336077	2	7	neural crest cell migration involved in autonomic nervous system development	BP
GO:0010863	0.000823026725601649	0.999991432269572	2	7	positive regulation of phospholipase C activity	BP
GO:0030324	0.000839707227708947	0.99990749046204	5	105	lung development	BP
GO:0016477	0.000894387121318839	0.999845093937149	7	230	cell migration	BP
GO:0061314	0.00101842730686644	0.999988189344541	2	7	Notch signaling involved in heart development	BP
GO:0014807	0.00105372278400884	0.999987566984598	2	7	regulation of somitogenesis	BP
GO:0032926	0.00108768650369217	0.999986451504055	2	8	negative regulation of activin receptor signaling pathway	BP
GO:0061298	0.00112295510403192	0.999985783886036	2	8	retina vasculature development in camera-type eye	BP
GO:1902961	0.0011386641793976	0.999985483041071	2	8	positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	BP
GO:0060346	0.00117529022673589	0.999984773388504	2	8	bone trabecula formation	BP
GO:0003183	0.00118852330640975	0.999984514183391	2	8	mitral valve morphogenesis	BP
GO:0045429	0.00132684761553999	0.999936457074317	3	32	positive regulation of nitric oxide biosynthetic process	BP
GO:0007368	0.00135821824137096	0.999882433275106	4	70	determination of left/right symmetry	BP
GO:0009887	0.00136179888297461	0.999832156382566	5	121	animal organ morphogenesis	BP
GO:0043589	0.00147037668294434	0.999978044770504	2	9	skin morphogenesis	BP
GO:0048701	0.00150732828348946	0.999924370419638	3	33	embryonic cranial skeleton morphogenesis	BP
GO:0032964	0.00162659799369525	0.999974432363812	2	9	collagen biosynthetic process	BP
GO:0050921	0.00173115272450225	0.999971297076045	2	10	positive regulation of chemotaxis	BP
GO:0007155	0.00175690350598797	0.999567338755135	9	424	cell adhesion	BP
GO:0030195	0.00180700270099492	0.999970034569586	2	9	negative regulation of blood coagulation	BP
