category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0007275	1.68399105135012e-09	0.999999999680707	26	885	multicellular organism development	BP
GO:0009952	8.46277754786692e-08	0.999999994402775	9	109	anterior/posterior pattern specification	BP
GO:0006355	1.53999056714134e-05	0.999995343881922	23	1187	regulation of DNA-templated transcription	BP
GO:0030154	5.81937412111242e-05	0.999983996499559	17	779	cell differentiation	BP
GO:0050919	0.000242696665493444	0.999987118371705	4	39	negative chemotaxis	BP
GO:0021555	0.000291170700699931	0.999998655207363	2	4	midbrain-hindbrain boundary morphogenesis	BP
GO:0001764	0.00036965785362257	0.999955316654687	6	117	neuron migration	BP
GO:0001755	0.000401372975421915	0.999975436236806	4	45	neural crest cell migration	BP
GO:0007411	0.000420914212163629	0.999936145700245	7	163	axon guidance	BP
GO:0097119	0.000579033691447725	0.999995605912531	2	5	postsynaptic density protein 95 clustering	BP
GO:0009954	0.000623342491015778	0.999977632974602	3	23	proximal/distal pattern formation	BP
GO:0030182	0.000878319973018977	0.999873947186709	6	152	neuron differentiation	BP
GO:0007399	0.000901321313377747	0.999779369400075	10	383	nervous system development	BP
GO:2000020	0.000988226249566824	0.999989303367837	2	6	positive regulation of male gonad development	BP
GO:0048843	0.00104619394836204	0.999954719802883	3	25	negative regulation of axon extension involved in axon guidance	BP
GO:0021884	0.00124136358656747	0.99998407100532	2	7	forebrain neuron development	BP
GO:0048468	0.00130110826725454	0.999938491577685	3	29	cell development	BP
GO:0007625	0.00133125777385787	0.999981613080453	2	8	grooming behavior	BP
GO:1990830	0.00143684589882835	0.999820840893383	5	112	cellular response to leukemia inhibitory factor	BP
GO:0045665	0.00171586355443658	0.999841606383777	4	69	negative regulation of neuron differentiation	BP
GO:0030879	0.00187633528571489	0.999898916547021	3	30	mammary gland development	BP
GO:0001656	0.0021563142210228	0.999876979052236	3	34	metanephros development	BP
GO:0010468	0.00218265875403448	0.999497750819321	8	303	regulation of gene expression	BP
GO:0048863	0.00237260028970807	0.999859084833204	3	38	stem cell differentiation	BP
GO:0032956	0.00243641585474895	0.999752231848635	4	70	regulation of actin cytoskeleton organization	BP
GO:0071526	0.00292294534795436	0.999814005093423	3	35	semaphorin-plexin signaling pathway	BP
GO:0030534	0.00315728010283956	0.999793526195771	3	35	adult behavior	BP
