category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0071456	7.02348795722048e-13	1	19	105	cellular response to hypoxia	BP
GO:0006096	3.43880407680225e-09	0.999999999826911	10	34	glycolytic process	BP
GO:0001666	5.08037394969508e-09	0.999999999202361	19	174	response to hypoxia	BP
GO:0005975	3.4580859020016e-07	0.999999935158594	17	178	carbohydrate metabolic process	BP
GO:0018401	8.25428545309588e-07	0.999999985864291	5	10	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	BP
GO:0042493	1.02339056178985e-05	0.999997250826396	19	281	NA	NA
GO:0043542	1.46722164536796e-05	0.999999098555299	6	28	endothelial cell migration	BP
GO:0008285	2.70206526123872e-05	0.999991887023272	20	335	negative regulation of cell population proliferation	BP
GO:0016338	3.69069283687805e-05	0.999998213785024	5	18	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	BP
GO:0007623	4.27877481779436e-05	0.999993777903358	9	81	circadian rhythm	BP
GO:0007507	4.59525276389418e-05	0.999987819667775	16	244	heart development	BP
GO:0099576	4.9488501757439e-05	0.999999572295115	3	5	regulation of protein catabolic process at postsynapse, modulating synaptic transmission	BP
GO:1901214	5.40764192696316e-05	0.999997093673011	5	20	NA	NA
GO:0061615	5.57797963359378e-05	0.999999658276363	3	4	glycolytic process through fructose-6-phosphate	BP
GO:0030388	5.58210155626276e-05	0.999998424827525	4	10	fructose 1,6-bisphosphate metabolic process	BP
GO:0006689	5.66882949798984e-05	0.999999486875736	3	5	ganglioside catabolic process	BP
GO:0006094	0.00010315121860628	0.999993570077262	5	21	gluconeogenesis	BP
GO:0043066	0.000111236148827303	0.999959592159178	23	445	negative regulation of apoptotic process	BP
GO:0001657	0.00011523692584238	0.999989252162057	6	39	ureteric bud development	BP
GO:0043116	0.000146185980702505	0.99999393043697	4	15	negative regulation of vascular permeability	BP
GO:0051384	0.00015542449746066	0.999980579788824	7	52	response to glucocorticoid	BP
GO:0045765	0.000156668340998449	0.999988929588929	5	26	regulation of angiogenesis	BP
GO:0032922	0.00016793310912574	0.999978624964697	7	56	circadian regulation of gene expression	BP
GO:0010628	0.000184341031636073	0.999934019465718	21	414	positive regulation of gene expression	BP
GO:0002476	0.00020537039185896	0.999991015571719	4	13	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	BP
GO:0070830	0.000214701941617306	0.999977460516705	6	40	bicellular tight junction assembly	BP
GO:0032570	0.000247069379044093	0.999980529363305	5	28	response to progesterone	BP
GO:0008152	0.00025789527838332	0.999940871717787	11	150	metabolic process	BP
GO:0002040	0.00033898353349872	0.999971019527232	5	31	sprouting angiogenesis	BP
GO:0055114	0.00034564592749729	0.99985026133276	28	608	NA	NA
GO:0042127	0.000375631428899649	0.999902852107341	12	178	regulation of cell population proliferation	BP
GO:0043065	0.000394987347867407	0.999867619763254	17	313	positive regulation of apoptotic process	BP
GO:0042632	0.000414017648427089	0.999938155377236	7	65	cholesterol homeostasis	BP
GO:0048511	0.000423062213491704	0.999905547422504	10	134	rhythmic process	BP
GO:0032805	0.000435221367765796	1	2	2	positive regulation of low-density lipoprotein particle receptor catabolic process	BP
GO:0098869	0.00047400256677991	0.999928187299012	7	57	cellular oxidant detoxification	BP
GO:0005978	0.000475057136609611	0.999972298526566	4	17	glycogen biosynthetic process	BP
GO:0009749	0.000610090084862672	0.999902516740371	7	67	response to glucose	BP
GO:0014070	0.000633477452949609	0.999851060136183	10	132	response to organic cyclic compound	BP
GO:0030335	0.000646484149809172	0.999810478158419	13	223	positive regulation of cell migration	BP
GO:0061621	0.000647668016464046	0.999981027026923	3	8	canonical glycolysis	BP
GO:0070328	0.00066833247290257	0.999956826802931	4	18	triglyceride homeostasis	BP
GO:0002474	0.00072002227261202	0.999978115150832	3	8	antigen processing and presentation of peptide antigen via MHC class I	BP
GO:1900221	0.000726197818013274	1	2	2	regulation of amyloid-beta clearance	BP
GO:1902998	0.000726197818013274	1	2	2	positive regulation of neurofibrillary tangle assembly	BP
GO:0019242	0.000729686226811016	1	2	2	methylglyoxal biosynthetic process	BP
GO:0005979	0.000873296141474994	0.999969243127261	3	10	regulation of glycogen biosynthetic process	BP
GO:0032355	0.000874368136984213	0.999826859163475	8	92	response to estradiol	BP
GO:0006211	0.000930447355948823	0.999994466947727	2	3	5-methylcytosine catabolic process	BP
GO:0051592	0.000942665049872238	0.999865785662431	6	53	response to calcium ion	BP
GO:0005977	0.000970455015412593	0.999893869639594	5	35	glycogen metabolic process	BP
GO:0070487	0.000995416858833381	0.999993873607236	2	3	monocyte aggregation	BP
GO:1903800	0.000997229760153654	0.999964447704651	3	9	positive regulation of miRNA processing	BP
GO:0043434	0.00101086238729378	0.999853927637352	6	54	response to peptide hormone	BP
GO:0043433	0.00101787521852885	0.999821733266605	7	72	negative regulation of DNA-binding transcription factor activity	BP
GO:2001214	0.0010256881831666	0.999961789217438	3	10	positive regulation of vasculogenesis	BP
GO:0010595	0.0010800794912166	0.999841531283875	6	56	positive regulation of endothelial cell migration	BP
