category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0016055	3.26425880924011e-06	0.999999720748612	8	195	Wnt signaling pathway	BP
GO:0030178	5.52147561508641e-05	0.999998025555187	4	44	negative regulation of Wnt signaling pathway	BP
GO:0009060	8.57919505956353e-05	0.999998465100945	3	22	aerobic respiration	BP
GO:0009952	0.000149112086693993	0.999988933141885	5	109	anterior/posterior pattern specification	BP
GO:0009954	0.000157077489825718	0.999996531597068	3	23	proximal/distal pattern formation	BP
GO:0007275	0.000166004928123933	0.999960288239162	13	885	multicellular organism development	BP
GO:0015990	0.000184237732091781	0.99999922280362	2	5	electron transport coupled proton transport	BP
GO:0090090	0.000233705949633357	0.999980838417289	5	119	negative regulation of canonical Wnt signaling pathway	BP
GO:0007338	0.00089418217737464	0.999962464224653	3	43	single fertilization	BP
GO:0035914	0.00122784022756461	0.999942158890384	3	48	skeletal muscle cell differentiation	BP
GO:0007267	0.00179471879436093	0.999903140140577	3	52	cell-cell signaling	BP
GO:0001934	0.00224182495307118	0.999692605110848	5	207	positive regulation of protein phosphorylation	BP
GO:0009887	0.00226294041280112	0.999774627376758	4	121	animal organ morphogenesis	BP
GO:0061036	0.00233644940963739	0.999952446503692	2	15	positive regulation of cartilage development	BP
GO:0045165	0.00279975127086187	0.999822368803591	3	60	cell fate commitment	BP
GO:0050966	0.00280874630703492	0.999936346788383	2	17	detection of mechanical stimulus involved in sensory perception of pain	BP
GO:0060070	0.00318855504126205	0.999787726234698	3	64	canonical Wnt signaling pathway	BP
GO:0019646	0.00327133326531027	1	1	1	aerobic electron transport chain	BP
GO:0030509	0.0036618753327078	0.999743693159779	3	66	BMP signaling pathway	BP
GO:0055114	0.00377854876646933	0.999066718068944	8	608	NA	NA
GO:0022904	0.00380074273768374	0.999896843977058	2	23	respiratory electron transport chain	BP
GO:0032423	0.00401242423104827	1	1	1	regulation of mismatch repair	BP
GO:0035992	0.00420285265094987	1	1	1	tendon formation	BP
GO:0010712	0.00454543757854169	1	1	1	regulation of collagen metabolic process	BP
GO:0051216	0.0048139518237895	0.999627175418254	3	75	cartilage development	BP
GO:1990697	0.00491830452018659	1	1	1	protein depalmitoleylation	BP
GO:0072080	0.00503930636130103	1	1	1	nephron tubule development	BP
GO:0032608	0.00507902835642577	1	1	1	interferon-beta production	BP
GO:1902630	0.00510670191356745	1	1	1	regulation of membrane hyperpolarization	BP
GO:1905788	0.00510670191356745	1	1	1	negative regulation of detection of mechanical stimulus involved in sensory perception of touch	BP
GO:0003136	0.00510696932184693	1	1	1	NA	NA
GO:0021874	0.00510696932184693	1	1	1	Wnt signaling pathway involved in forebrain neuroblast division	BP
GO:0048337	0.00510696932184693	1	1	1	positive regulation of mesodermal cell fate specification	BP
GO:0061317	0.00510696932184693	1	1	1	canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	BP
GO:0090676	0.00510696932184693	1	1	1	calcium ion transmembrane transport via low voltage-gated calcium channel	BP
GO:2000081	0.00510696932184693	1	1	1	positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation	BP
GO:0051038	0.00510803363373794	1	1	1	NA	NA
GO:1901202	0.00510821728767652	1	1	1	negative regulation of extracellular matrix assembly	BP
GO:0071542	0.00522918190451396	0.999832315040704	2	24	dopaminergic neuron differentiation	BP
GO:0050768	0.00587055433486515	0.999797509475375	2	30	negative regulation of neurogenesis	BP
GO:0007165	0.00715030940654391	0.997715889646578	10	892	signal transduction	BP
GO:0070602	0.00727083608185184	0.99998694288878	1	2	regulation of centromeric sister chromatid cohesion	BP
GO:0009798	0.00733083797166069	0.999986726087713	1	2	axis specification	BP
GO:1903237	0.00793854506543449	0.999984429293017	1	2	negative regulation of leukocyte tethering or rolling	BP
GO:1904105	0.00797449457447226	0.999984287661999	1	2	positive regulation of convergent extension involved in gastrulation	BP
GO:0030879	0.00798990472101689	0.99967682543704	2	30	mammary gland development	BP
GO:0050807	0.00801259863646055	0.999675430875069	2	30	regulation of synapse organization	BP
GO:0072079	0.0082944110344868	0.999982998917453	1	2	nephron tubule formation	BP
GO:1902750	0.00858868306167626	0.999981768435516	1	2	negative regulation of cell cycle G2/M phase transition	BP
GO:2000054	0.009100463980419	0.999979525585986	1	2	negative regulation of Wnt signaling pathway involved in dorsal/ventral axis specification	BP
GO:0071939	0.00918252279256151	0.999979153811345	1	2	vitamin A import into cell	BP
GO:0003188	0.00928993471259216	0.999978662093276	1	2	heart valve formation	BP
GO:1990478	0.00966311291478032	0.999976908960162	1	2	response to ultrasound	BP
GO:0045944	0.00985804113809862	0.996514358757538	11	1094	positive regulation of transcription by RNA polymerase II	BP
GO:0007606	0.00997083982703782	0.999975410979239	1	2	sensory perception of chemical stimulus	BP
GO:0021988	0.0100284245963325	0.999975125407363	1	2	olfactory lobe development	BP
GO:0034371	0.0100335342116654	0.999975099987934	1	2	chylomicron remodeling	BP
GO:0070172	0.0101221791052084	0.999974656918483	1	2	positive regulation of tooth mineralization	BP
GO:0006643	0.0101425694500856	0.999974554446796	1	2	membrane lipid metabolic process	BP
GO:0048343	0.0101875761746962	0.999974327529858	1	2	paraxial mesodermal cell fate commitment	BP
GO:0048697	0.0101895044317169	0.999974317785264	1	2	positive regulation of collateral sprouting in absence of injury	BP
GO:0090245	0.0101895044317169	0.999974317785264	1	2	axis elongation involved in somitogenesis	BP
GO:0044380	0.0101907420048461	0.999974311530115	1	2	protein localization to cytoskeleton	BP
GO:1900077	0.0112640173318626	0.999958157937967	1	3	negative regulation of cellular response to insulin stimulus	BP
GO:0034633	0.0122028319841231	0.999950871517846	1	3	retinol transport	BP
GO:0098903	0.0123587208212788	0.999949604708475	1	3	regulation of membrane repolarization during action potential	BP
GO:0038146	0.0126083487929868	0.999947542362073	1	3	chemokine (C-X-C motif) ligand 12 signaling pathway	BP
