category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0007275	6.27596614974748e-08	0.999999991448083	16	885	multicellular organism development	BP
GO:0014706	8.87329799551948e-05	0.999999742517953	2	5	striated muscle tissue development	BP
GO:0016576	0.00019753625470044	0.999999067105128	2	6	NA	NA
GO:0060394	0.000690628403096702	0.99999261402406	2	13	NA	NA
GO:0048856	0.000731363867082942	0.999971503062085	3	47	anatomical structure development	BP
GO:0060317	0.000779755678497708	0.999991235919017	2	12	cardiac epithelial to mesenchymal transition	BP
GO:0007169	0.000798579895607099	0.999940970194718	4	102	transmembrane receptor protein tyrosine kinase signaling pathway	BP
GO:0014068	0.00128478718935753	0.999938571893975	3	59	NA	NA
GO:0048665	0.00130190309374649	0.999980310165335	2	16	neuron fate specification	BP
GO:0030335	0.00130196247587637	0.999844188848513	5	223	positive regulation of cell migration	BP
GO:0001706	0.00143870545011163	0.999977274478549	2	15	endoderm formation	BP
GO:0009890	0.00167310114062158	1	1	1	negative regulation of biosynthetic process	BP
GO:0043105	0.00167310114062158	1	1	1	negative regulation of GTP cyclohydrolase I activity	BP
GO:0033674	0.00168349441948754	0.999911642334405	3	57	positive regulation of kinase activity	BP
GO:0051965	0.00194329099416955	0.999892550322897	3	60	positive regulation of synapse assembly	BP
GO:0006486	0.00212409786241634	0.999793575765864	4	151	protein glycosylation	BP
GO:0060996	0.00245721080317954	0.999948048359583	2	18	dendritic spine development	BP
GO:0010628	0.00334173738282331	0.999389151994115	6	414	positive regulation of gene expression	BP
GO:2001240	0.00363135308306714	0.999904076077789	2	24	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	BP
GO:0050866	0.00400693191100038	1	1	1	negative regulation of cell activation	BP
GO:1905522	0.00400693191100038	1	1	1	negative regulation of macrophage migration	BP
GO:0030593	0.00419433884655825	0.999878895481059	2	31	neutrophil chemotaxis	BP
GO:1902362	0.00427596918022666	1	1	1	melanocyte apoptotic process	BP
GO:1903054	0.00427596918022666	1	1	1	negative regulation of extracellular matrix organization	BP
GO:1901533	0.00434721509306837	1	1	1	negative regulation of hematopoietic progenitor cell differentiation	BP
GO:2000287	0.00438765700940203	1	1	1	positive regulation of myotome development	BP
GO:0042663	0.00444182917435869	1	1	1	regulation of endodermal cell fate specification	BP
GO:1901296	0.00444182917435869	1	1	1	negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	BP
GO:1904723	0.00444182917435869	1	1	1	negative regulation of Wnt-Frizzled-LRP5/6 complex assembly	BP
GO:1904958	0.00444182917435869	1	1	1	positive regulation of midbrain dopaminergic neuron differentiation	BP
GO:1905607	0.00444182917435869	1	1	1	negative regulation of presynapse assembly	BP
GO:0019056	0.00453119824087919	1	1	1	NA	NA
GO:0071469	0.00473332554284067	1	1	1	cellular response to alkaline pH	BP
GO:0001985	0.00474532741301758	1	1	1	negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure	BP
GO:1903997	0.00474532741301758	1	1	1	positive regulation of non-membrane spanning protein tyrosine kinase activity	BP
GO:0071600	0.00474568781059009	1	1	1	otic vesicle morphogenesis	BP
GO:0002319	0.00474578000342357	1	1	1	memory B cell differentiation	BP
GO:0019319	0.00474578000342357	1	1	1	hexose biosynthetic process	BP
GO:0021528	0.00474578000342357	1	1	1	commissural neuron differentiation in spinal cord	BP
GO:0051794	0.00474578000342358	1	1	1	regulation of timing of catagen	BP
GO:0070237	0.00474578000342358	1	1	1	positive regulation of activation-induced cell death of T cells	BP
GO:1902256	0.00474578000342358	1	1	1	regulation of apoptotic process involved in outflow tract morphogenesis	BP
GO:1903701	0.00474578000342358	1	1	1	substantia propria of cornea development	BP
GO:0033137	0.00474830556216842	0.999854991514557	2	27	negative regulation of peptidyl-serine phosphorylation	BP
GO:0099004	0.00531311581688153	0.999993065522835	1	2	calmodulin dependent kinase signaling pathway	BP
GO:0055026	0.00535484908580354	0.999992956007107	1	2	negative regulation of cardiac muscle tissue development	BP
GO:0045739	0.00547702321833828	0.999818058833504	2	33	positive regulation of DNA repair	BP
GO:0030154	0.00577869274184304	0.998492621205691	8	779	cell differentiation	BP
GO:0051781	0.00608229033391978	0.999785895965403	2	36	positive regulation of cell division	BP
GO:0016055	0.00649124061175167	0.999134725990702	4	195	Wnt signaling pathway	BP
GO:2000382	0.00673148150686667	0.999988860849753	1	2	positive regulation of mesoderm development	BP
GO:1903141	0.00677537367317015	0.99998871485811	1	2	negative regulation of establishment of endothelial barrier	BP
GO:0060325	0.00692396593350337	0.999740065867505	2	34	face morphogenesis	BP
GO:1990443	0.00698115814879098	0.999988017669628	1	2	peptidyl-threonine autophosphorylation	BP
GO:0010455	0.00702462654755735	0.999987867717983	1	2	positive regulation of cell fate commitment	BP
GO:0097325	0.00704357850331135	0.999987802047033	1	2	melanocyte proliferation	BP
GO:1904894	0.00722400586014487	0.999987167933714	1	2	positive regulation of receptor signaling pathway via STAT	BP
GO:0010716	0.00779690746285477	0.999980072219975	1	3	negative regulation of extracellular matrix disassembly	BP
GO:0007492	0.00781184324150095	0.999686685994543	2	37	endoderm development	BP
