category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0021517	7.79150236434678e-06	0.999999946346575	3	10	ventral spinal cord development	BP
GO:0072179	1.48629156076027e-05	1	2	2	nephric duct formation	BP
GO:0003002	1.55659493164101e-05	1	2	2	regionalization	BP
GO:0010975	3.84226793262491e-05	0.999998758475815	4	38	regulation of neuron projection development	BP
GO:0098708	7.24826139925588e-05	0.999999835060084	2	4	glucose import across plasma membrane	BP
GO:0030182	7.77460166010442e-05	0.999993047905268	6	152	neuron differentiation	BP
GO:0044070	0.000112656224096391	0.999999680046365	2	4	regulation of monoatomic anion transport	BP
GO:0070837	0.000124564101039883	0.999999567828409	2	5	dehydroascorbic acid transport	BP
GO:0010628	0.000138455228559721	0.999976662001215	9	414	positive regulation of gene expression	BP
GO:0010629	0.000153474950555804	0.999980569046614	7	237	negative regulation of gene expression	BP
GO:0010873	0.000174461920197694	0.99999928294422	2	5	NA	NA
GO:0150104	0.00020333896420486	0.999999017559387	2	6	transport across blood-brain barrier	BP
GO:0045165	0.000249951830731826	0.999986488312108	4	60	cell fate commitment	BP
GO:0086073	0.000382777599811053	0.999997662365762	2	5	bundle of His cell-Purkinje myocyte adhesion involved in cell communication	BP
GO:0002934	0.00061428809010166	0.999994815878672	2	6	desmosome organization	BP
GO:0043576	0.000624088321345265	0.999994393401106	2	7	regulation of respiratory gaseous exchange	BP
GO:1902895	0.000772665116718507	0.999969263928447	3	39	positive regulation of miRNA transcription	BP
GO:0030216	0.000833044273381305	0.999966087456992	3	37	keratinocyte differentiation	BP
GO:0001525	0.000946633432765338	0.999863617768809	6	229	angiogenesis	BP
GO:0008285	0.00106967075570463	0.999811469021525	7	335	negative regulation of cell population proliferation	BP
GO:0009743	0.0011797406224322	0.999984019965034	2	10	response to carbohydrate	BP
GO:0030154	0.00119112231300892	0.999681849163351	11	779	cell differentiation	BP
GO:0022027	0.00127973653784561	0.999982813810158	2	8	interkinetic nuclear migration	BP
GO:0035988	0.00130388568299019	0.999981095064601	2	11	chondrocyte proliferation	BP
GO:0098911	0.00132413919904886	0.999981389724755	2	9	regulation of ventricular cardiac muscle cell action potential	BP
GO:0007409	0.00136570391433738	0.999882115434743	4	89	axonogenesis	BP
GO:2000679	0.00158147432253294	0.999973574843084	2	15	positive regulation of transcription regulatory region DNA binding	BP
GO:0042462	0.00160014025529427	0.999973587649628	2	13	eye photoreceptor cell development	BP
GO:0042493	0.00192504490955136	0.999680428802326	6	281	NA	NA
GO:0010942	0.00195019175309541	0.999891354643915	3	53	NA	NA
GO:0003180	0.0020568652829758	0.999960429594885	2	16	aortic valve morphogenesis	BP
GO:0006885	0.00234197091912037	0.999951863378209	2	16	regulation of pH	BP
GO:0048484	0.00256772253538869	0.999945084070766	2	15	enteric nervous system development	BP
GO:1904706	0.00279710538985431	0.999937053856287	2	16	negative regulation of vascular associated smooth muscle cell proliferation	BP
GO:0043627	0.00289453600936099	0.999814166678577	3	57	response to estrogen	BP
GO:0048172	0.00292252003424765	0.999932316179171	2	17	regulation of short-term neuronal synaptic plasticity	BP
GO:0014070	0.00300659595810135	0.999674837007064	4	132	response to organic cyclic compound	BP
GO:0048485	0.00302427359991608	0.999930262570725	2	14	sympathetic nervous system development	BP
GO:0002572	0.00302762757220524	1	1	1	pro-T cell differentiation	BP
GO:0035898	0.00302762757220524	1	1	1	parathyroid hormone secretion	BP
GO:0061085	0.00302762757220524	1	1	1	NA	NA
GO:2000607	0.00302762757220524	1	1	1	negative regulation of cell proliferation involved in mesonephros development	BP
GO:2000683	0.00302762757220524	1	1	1	regulation of cellular response to X-ray	BP
GO:2000703	0.00302762757220524	1	1	1	negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation	BP
GO:2000734	0.00302762757220524	1	1	1	negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation	BP
GO:0002246	0.00322325342269426	1	1	1	wound healing involved in inflammatory response	BP
GO:0001709	0.00340676668725135	0.999915198863864	2	16	cell fate determination	BP
GO:0010879	0.00343159864866818	1	1	1	cholesterol transport involved in cholesterol storage	BP
GO:1904659	0.00357185452177148	0.99990659783281	2	21	glucose transmembrane transport	BP
GO:0032689	0.00366058027464094	0.999902721336565	2	22	negative regulation of type II interferon production	BP
GO:1902938	0.00369555288643775	1	1	1	regulation of intracellular calcium activated chloride channel activity	BP
GO:0003322	0.00379954479955283	1	1	1	pancreatic A cell development	BP
GO:0021593	0.00379954479955283	1	1	1	rhombomere morphogenesis	BP
GO:0021905	0.00379954479955283	1	1	1	forebrain-midbrain boundary formation	BP
GO:0021918	0.00379954479955283	1	1	1	NA	NA
GO:0098598	0.00379954479955283	1	1	1	learned vocalization behavior or vocal learning	BP
GO:0120008	0.00379954479955283	1	1	1	positive regulation of glutamatergic neuron differentiation	BP
GO:1904937	0.00379954479955283	1	1	1	sensory neuron migration	BP
GO:0032703	0.00381757205039223	0.999897567141505	2	19	negative regulation of interleukin-2 production	BP
GO:0021623	0.00402123038705275	1	1	1	oculomotor nerve formation	BP
GO:0021642	0.00402123038705275	1	1	1	trochlear nerve formation	BP
GO:0021703	0.00402123038705275	1	1	1	locus ceruleus development	BP
GO:0043433	0.00405431448739825	0.999704474139946	3	72	negative regulation of DNA-binding transcription factor activity	BP
GO:0001894	0.00408876167946542	0.999885861888156	2	20	tissue homeostasis	BP
GO:2001150	0.00418948627249577	1	1	1	positive regulation of dipeptide transmembrane transport	BP
GO:0060384	0.00439580397567852	0.999872644377225	2	20	innervation	BP
GO:1903919	0.00459937664109777	1	1	1	negative regulation of actin filament severing	BP
GO:0016104	0.00467202035372726	1	1	1	triterpenoid biosynthetic process	BP
GO:0045055	0.0047372238193432	0.999856813823712	2	21	regulated exocytosis	BP
GO:0035565	0.00473929116443064	1	1	1	regulation of pronephros size	BP
GO:0039020	0.00473929116443064	1	1	1	pronephric nephron tubule development	BP
GO:0060677	0.00473929116443064	1	1	1	ureteric bud elongation	BP
GO:0061296	0.00473929116443064	1	1	1	negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	BP
GO:0072176	0.00473929116443064	1	1	1	nephric duct development	BP
GO:0060401	0.0047601972415502	1	1	1	NA	NA
GO:1900006	0.0049626983988362	0.99984838108514	2	18	positive regulation of dendrite development	BP
GO:0021541	0.00499097784799262	1	1	1	ammon gyrus development	BP
GO:1902178	0.00511871751971172	1	1	1	fibroblast growth factor receptor apoptotic signaling pathway	BP
GO:0086019	0.00526560278611783	1	1	1	cell-cell signaling involved in cardiac conduction	BP
GO:1904530	0.00532665010232546	1	1	1	negative regulation of actin filament binding	BP
GO:0070542	0.00553345456505873	0.999817596968714	2	23	response to fatty acid	BP
GO:2001224	0.00590811776055285	0.999800696549839	2	20	positive regulation of neuron migration	BP
GO:0003421	0.00612262603889608	1	1	1	growth plate cartilage axis specification	BP
GO:0030320	0.00612262603889608	1	1	1	NA	NA
GO:1903403	0.00612262603889608	1	1	1	negative regulation of renal phosphate excretion	BP
GO:1902948	0.00613818773464155	0.999990690813221	1	2	negative regulation of tau-protein kinase activity	BP
GO:0006695	0.00614516246307197	0.999784446038277	2	26	cholesterol biosynthetic process	BP
GO:0001806	0.00620691339510888	0.999990480853834	1	2	type IV hypersensitivity	BP
GO:0043370	0.00621360302445991	0.999990460291333	1	2	regulation of CD4-positive, alpha-beta T cell differentiation	BP
GO:0060374	0.00625644388327164	0.999990328079986	1	2	mast cell differentiation	BP
GO:0072182	0.0062912883576927	0.999990219873188	1	2	regulation of nephron tubule epithelial cell differentiation	BP
GO:1903055	0.0063103890546479	0.999990160301224	1	2	positive regulation of extracellular matrix organization	BP
GO:0007497	0.00632692663544344	1	1	1	posterior midgut development	BP
GO:0035645	0.00632692663544344	1	1	1	enteric smooth muscle cell differentiation	BP
GO:0001822	0.00636127451400249	0.999149959809351	4	140	kidney development	BP
GO:0030902	0.00640186754354174	0.999772493799915	2	23	hindbrain development	BP
GO:0033082	0.00642539873796583	1	1	1	regulation of extrathymic T cell differentiation	BP
GO:0048869	0.00642539873796583	1	1	1	cellular developmental process	BP
GO:0051136	0.00642539873796583	1	1	1	regulation of NK T cell differentiation	BP
GO:1990654	0.00642539873796583	1	1	1	sebum secreting cell proliferation	BP
GO:0072750	0.00648671955301594	0.999989601784403	1	2	cellular response to leptomycin B	BP
GO:0006788	0.00674427792945381	0.999988758182576	1	2	heme oxidation	BP
GO:0098609	0.00675843883864846	0.999082564631599	4	128	cell-cell adhesion	BP
GO:0042660	0.0068309376033405	0.999988466916424	1	2	positive regulation of cell fate specification	BP
GO:0051780	0.00685717844725695	1	1	1	behavioral response to nutrient	BP
GO:1905039	0.00685717844725695	1	1	1	carboxylic acid transmembrane transport	BP
GO:0099011	0.00699184698851485	0.999987916179246	1	2	neuronal dense core vesicle exocytosis	BP
GO:0034434	0.0072957255724576	1	1	1	NA	NA
GO:0060378	0.00750837623166335	1	1	1	regulation of brood size	BP
GO:0045087	0.00761375373975447	0.998600824665144	5	262	innate immune response	BP
GO:0072272	0.00779609934634228	0.999984970193913	1	2	proximal/distal pattern formation involved in metanephric nephron development	BP
GO:1903923	0.00781158778970513	0.99998491029614	1	2	positive regulation of protein processing in phagocytic vesicle	BP
GO:0032796	0.00789368570586283	0.999984590805414	1	2	uropod organization	BP
GO:0032849	0.00811574606502586	0.99998370980045	1	2	positive regulation of cellular pH reduction	BP
GO:1905664	0.00817152507165054	0.999983484637671	1	2	regulation of calcium ion import across plasma membrane	BP
GO:1904016	0.00819842725836988	0.99998337548704	1	2	response to Thyroglobulin triiodothyronine	BP
GO:0008643	0.00820730030780826	0.999661312507386	2	33	carbohydrate transport	BP
GO:0061290	0.00822893749561229	0.999983251260525	1	2	NA	NA
GO:0031134	0.00835299505786878	0.99998274136055	1	2	sister chromatid biorientation	BP
GO:1900212	0.0083976611575643	0.999982555894462	1	2	negative regulation of mesenchymal cell apoptotic process involved in metanephros development	BP
GO:0050731	0.00844481117934698	0.999195289117592	3	84	positive regulation of peptidyl-tyrosine phosphorylation	BP
GO:1904028	0.00845286165414551	0.999982325311265	1	2	positive regulation of collagen fibril organization	BP
GO:0010085	0.0086058881738072	0.999981678138935	1	2	polarity specification of proximal/distal axis	BP
GO:0048561	0.00892214145857666	0.999980303614078	1	2	establishment of animal organ orientation	BP
GO:0034395	0.00894335235332861	0.999980209638637	1	2	NA	NA
GO:0009949	0.00917197787308001	0.999979182443122	1	2	polarity specification of anterior/posterior axis	BP
GO:0032764	0.00931152030296258	0.99997854265841	1	2	negative regulation of mast cell cytokine production	BP
GO:0061017	0.00931859482077375	0.999978509963498	1	2	hepatoblast differentiation	BP
GO:0031620	0.00943677111144041	0.999977960113025	1	2	regulation of fever generation	BP
GO:0002088	0.00945281740007741	0.999583780010838	2	28	lens development in camera-type eye	BP
GO:1901536	0.00951858912282462	0.999970116568778	1	3	negative regulation of DNA demethylation	BP
GO:0045064	0.00953978076700192	0.999969983070249	1	3	T-helper 2 cell differentiation	BP
GO:0086001	0.00962442881125403	0.999977072637514	1	2	cardiac muscle cell action potential	BP
GO:1990839	0.00972907418626816	0.999976570100519	1	2	response to endothelin	BP
GO:2000611	0.0098506386070288	0.999967990449957	1	3	positive regulation of thyroid hormone generation	BP
GO:1903944	0.00994996592982024	0.999967340195611	1	3	negative regulation of hepatocyte apoptotic process	BP
GO:0032823	0.0101387450761897	0.999974550060702	1	2	regulation of natural killer cell differentiation	BP
GO:0014826	0.0102974514229658	0.999973744935558	1	2	vein smooth muscle contraction	BP
GO:0007417	0.0103858883079219	0.998932391504289	3	85	central nervous system development	BP
GO:0046903	0.0104122372883504	0.999964227464711	1	3	secretion	BP
GO:1904891	0.0104810747661519	0.999963751767841	1	3	positive regulation of excitatory synapse assembly	BP
GO:1900451	0.0106320211219452	0.999962697610982	1	3	positive regulation of glutamate receptor signaling pathway	BP
GO:0030217	0.0109311587308282	0.999477220146588	2	32	T cell differentiation	BP
GO:1904022	0.0109470536004828	0.999970318054515	1	2	positive regulation of G protein-coupled receptor internalization	BP
GO:0030901	0.0110170461076929	0.999471788110708	2	31	midbrain development	BP
GO:0042531	0.0111199496770616	0.999459313808533	2	38	positive regulation of tyrosine phosphorylation of STAT protein	BP
GO:0070094	0.0111610425245336	0.999958883233664	1	3	positive regulation of glucagon secretion	BP
GO:0019287	0.0112416660000646	0.999958285532661	1	3	isopentenyl diphosphate biosynthetic process, mevalonate pathway	BP
GO:0071930	0.0113033156300601	0.999957825569124	1	3	NA	NA
GO:0048678	0.0113102452803956	0.999447096817428	2	35	response to axon injury	BP
GO:0045786	0.0114894914015621	0.999433013955319	2	36	negative regulation of cell cycle	BP
GO:0021523	0.0115888435099528	0.999955662203066	1	3	somatic motor neuron differentiation	BP
GO:0072181	0.0116627001089121	0.999966298042071	1	2	mesonephric duct formation	BP
GO:0032506	0.0117133636739584	0.999966003717269	1	2	cytokinetic process	BP
GO:0034059	0.0117367854819698	0.999965867215547	1	2	response to anoxia	BP
GO:0070278	0.0118573241714253	0.999953578375318	1	3	extracellular matrix constituent secretion	BP
GO:0051450	0.0119783700638394	0.999952623135298	1	3	myoblast proliferation	BP
GO:0021543	0.0119934491435166	0.999952503452796	1	3	pallium development	BP
GO:0050867	0.0121831608726946	0.999963213150851	1	2	positive regulation of cell activation	BP
GO:0001656	0.0124611263640632	0.999360043877283	2	34	metanephros development	BP
GO:0061789	0.0126460427289471	0.999947178332886	1	3	dense core granule priming	BP
GO:0086091	0.0126496629139242	0.999351629630377	2	28	regulation of heart rate by cardiac conduction	BP
GO:0070859	0.0126694135167078	0.999946982352096	1	3	positive regulation of bile acid biosynthetic process	BP
GO:0010359	0.0126920827253342	0.999946791905828	1	3	regulation of anion channel activity	BP
GO:0021986	0.0129582563144465	0.999944530063331	1	3	habenula development	BP
GO:0007492	0.0129592809786145	0.999318176386843	2	37	endoderm development	BP
GO:0021914	0.0130793285451954	0.999943485566879	1	3	negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning	BP
GO:0051385	0.0131647467926756	0.999942742762707	1	3	response to mineralocorticoid	BP
GO:0006357	0.0131663646349854	0.995123199817283	11	1069	regulation of transcription by RNA polymerase II	BP
GO:0042167	0.0132247079191643	0.999935020099163	1	4	heme catabolic process	BP
GO:0003281	0.0132398338600439	0.999296373865408	2	36	ventricular septum development	BP
GO:0048486	0.0132537822755677	0.999941963309433	1	3	parasympathetic nervous system development	BP
GO:0060976	0.01335851110141	0.99928951066707	2	33	coronary vasculature development	BP
GO:0034349	0.0134560586058138	0.999932720075675	1	4	glial cell apoptotic process	BP
GO:1904761	0.0134823407219235	0.999939938140137	1	3	negative regulation of myofibroblast differentiation	BP
GO:0021912	0.0134833481226406	0.999939929136594	1	3	NA	NA
GO:0110032	0.0135173386257156	0.999939624951961	1	3	positive regulation of G2/MI transition of meiotic cell cycle	BP
GO:0030858	0.0135591060158105	0.99993925011267	1	3	positive regulation of epithelial cell differentiation	BP
GO:1905684	0.0136466346472157	0.999938460805478	1	3	regulation of plasma membrane repair	BP
GO:0009786	0.0137135482745126	0.999937853940747	1	3	regulation of asymmetric cell division	BP
GO:0007411	0.0139675622723623	0.997651147523204	4	163	axon guidance	BP
GO:0035574	0.0142626205501438	0.999949529908727	1	2	NA	NA
GO:0060183	0.0142915407607373	0.999932487158363	1	3	apelin receptor signaling pathway	BP
GO:0021700	0.0143367360214879	1	1	1	developmental maturation	BP
GO:0051915	0.0143367360214879	1	1	1	induction of synaptic plasticity by chemical substance	BP
GO:0071466	0.0145624522563738	0.999921164107883	1	4	cellular response to xenobiotic stimulus	BP
GO:0072095	0.0146146020922804	0.99992938999865	1	3	regulation of branch elongation involved in ureteric bud branching	BP
GO:0042036	0.0146400449763822	0.999929143109862	1	3	NA	NA
GO:0014043	0.014653848935895	0.999929008979596	1	3	negative regulation of neuron maturation	BP
GO:0043550	0.0147174480778824	0.999919471660822	1	4	regulation of lipid kinase activity	BP
GO:0001826	0.0148300971937186	0.99991823026001	1	4	inner cell mass cell differentiation	BP
GO:1903039	0.0149446171260904	0.999916958447143	1	4	positive regulation of leukocyte cell-cell adhesion	BP
GO:1902951	0.0150084003138923	0.999916245813706	1	4	negative regulation of dendritic spine maintenance	BP
GO:0042035	0.0150278485811514	0.999916027913514	1	4	NA	NA
