"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hoxaas3",1.05802599010024e-65,1.80357230268972,0.901,0.336,3.19693133168689e-61,"NMPs","Hoxaas3"
"Cdx2",4.73048833506519e-53,1.27318700643409,0.6,0.091,1.4293643553233e-48,"NMPs","Cdx2"
"Hoxb5os",5.48749466105273e-46,1.0421740587015,0.865,0.429,1.65810138678369e-41,"NMPs","Hoxb5os"
"Epha5",4.73431768788511e-40,1.2216935961753,0.508,0.075,1.43052143257136e-35,"NMPs","Epha5"
"Hoxc9",1.45681886717501e-39,0.942470095494371,0.639,0.21,4.40192388905602e-35,"NMPs","Hoxc9"
"Hoxc8",1.60088418631164e-34,1.07510300784251,0.656,0.218,4.83723165735926e-30,"NMPs","Hoxc8"
"Greb1",3.16322746013481e-32,0.932251176729229,0.537,0.159,9.55800809354335e-28,"NMPs","Greb1"
"Gm45889",2.88380308002128e-31,1.05187534053581,0.494,0.11,8.7136993865923e-27,"NMPs","Gm45889"
"Nkx1-2",4.80960487284885e-30,0.896391377387258,0.391,0.019,1.45327020838001e-25,"NMPs","Nkx1-2"
"Cdx4",1.10370320539388e-29,1.36469698541548,0.421,0.053,3.33494960541816e-25,"NMPs","Cdx4"
"Fgf8",9.77777298800875e-29,1.20321901298364,0.519,0.123,2.95445188605673e-24,"NMPs","Fgf8"
"Fgf17",1.56750257963665e-26,0.831639772102731,0.304,0.019,4.73636579463011e-22,"NMPs","Fgf17"
"Tcf15",6.33913750528719e-26,-1.46468245077665,0.274,0.537,1.91543378859758e-21,"NMPs","Tcf15"
"Hoxc10",3.57490583899895e-25,0.82627393522331,0.314,0.045,1.08019354831192e-20,"NMPs","Hoxc10"
"Hes7",4.90611893191727e-25,0.698011700202077,0.322,0.057,1.48243289646812e-20,"NMPs","Hes7"
"Tcea3",1.18807821197521e-24,0.620999812754251,0.356,0.087,3.58989712530429e-20,"NMPs","Tcea3"
"Rspo3",6.01709591545626e-24,1.01644016824369,0.499,0.174,1.81812570181426e-19,"NMPs","Rspo3"
